Player ID,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
515818.0,Damiere Byrd,29,ATL,WR,14,4,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0
536202.0,Mike Hilton,28,CIN,CB,14,4,1,5,0,5,6,0,0,0,0,0,0.0,60,48,12,4,4,0
4259300.0,Tre Avery,25,TEN,CB,14,3,0,0,0,0,9,0,0,1,0,0,0.0,29,23,6,1,0,0
,Keelan Cole,29,LVR,WR,14,3,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0
,Dennis Gardeck,28,ARI,LB,14,3,1,24,0,24,1,1,0,0,0,0,1.0,31,22,9,2,5,0
3728308.0,Jonathan Ledbetter,25,ARI,DE,14,3,0,0,0,0,0,0,0,0,0,0,1.0,22,10,12,2,2,0
3917197.0,Christian Matthew,26,ARI,CB,14,3,0,0,0,0,3,0,0,0,0,0,0.0,19,12,7,0,0,0
530842.0,Will Parks,28,NYJ,S,14,3,0,0,0,0,0,0,0,0,0,0,0.0,17,10,7,0,0,0
534388.0,Daniel Brunskill,28,SFO,G,14,2,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0
4240464.0,Victor Dimukeje,23,ARI,OLB,14,2,0,0,0,0,0,0,0,0,0,0,0.0,17,12,5,0,1,0
549199.0,Kevin Rader,27,TEN,TE,14,2,0,0,0,0,0,0,0,0,0,0,0.0,9,7,2,0,0,0
3124634.0,Malik Reed,26,PIT,LB,14,2,0,0,0,0,2,0,0,0,0,0,1.0,25,8,17,1,4,0
4373678.0,Khalil Shakir,22,BUF,WR,14,2,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0
3916273.0,Erik Harris,32,ATL,S,14,1,0,0,0,0,0,0,0,0,0,0,0.0,13,7,6,0,0,0
3918003.0,Brycen Hopkins,25,LAR,TE,14,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0
,Justin Houston,33,BAL,LB,14,1,1,5,0,5,1,1,0,0,0,0,9.5,21,14,7,7,17,0
4244049.0,Quintin Morris,23,BUF,TE,14,1,0,0,0,0,0,1,1,1,0,0,0.0,3,2,1,0,0,0
4039253.0,Trevon Wesco,27,CHI,TE,14,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0
4037216.0,Essang Bassey,24,DEN,CB,14,0,0,0,0,0,2,0,0,0,0,0,0.0,15,10,5,1,0,0
,Joe Cardona,30,NWE,LS,14,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0
4240486.0,Tariq Carpenter,24,GNB,S,14,0,0,0,0,0,0,0,0,0,0,0,0.0,8,6,2,0,0,0
3858271.0,Ashtyn Davis,26,NYJ,S,14,0,1,14,0,14,1,0,0,0,0,0,0.0,5,3,2,0,0,0
4240655.0,Jonathan Garvin,23,GNB,DE,14,0,0,0,0,0,2,0,0,0,0,0,0.0,8,0,8,0,2,0
3144988.0,Jake Gervase,27,LAR,LB,14,0,0,0,0,0,0,0,0,0,0,0,0.0,6,5,1,0,0,0
559660.0,J.T. Gray,26,NOR,DB,14,0,0,0,0,0,0,0,0,0,0,0,2.5,17,9,8,1,2,0
552674.0,Neville Hewitt,29,HOU,LB,14,0,0,0,0,0,0,1,0,0,0,0,0.0,14,10,4,1,0,0
4039375.0,Bryce Huff,24,NYJ,DE,14,0,0,0,0,0,1,1,0,0,0,0,3.5,6,4,2,2,10,0
,Eric Johnson,24,IND,DT,14,0,0,0,0,0,0,0,0,1,0,0,0.0,3,1,2,0,0,0
,Jermaine Johnson II,23,NYJ,DE,14,0,0,0,0,0,0,0,0,0,0,0,2.5,29,18,11,3,5,1
3699902.0,Stanley Morgan Jr.,26,CIN,WR,14,0,0,0,0,0,0,0,0,0,0,0,0.0,11,7,4,0,0,0
530991.0,Kevon Seymour,29,BAL,DB,14,0,0,0,0,0,0,0,0,1,0,0,0.0,3,3,0,0,0,0
4035426.0,Stephen Sullivan,26,CAR,TE,14,0,0,0,0,0,0,0,0,1,0,0,0.0,3,2,1,0,0,0
,Patrick Taylor,24,GNB,RB,14,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0
4360287.0,Delarrin Turner-Yell,23,DEN,S,14,0,0,0,0,0,0,0,0,2,0,0,0.0,8,6,2,0,0,0
4244299.0,Sterling Weatherford,23,CHI,LB,14,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0
4567480.0,Damarion Williams,24,BAL,CB,14,0,0,0,0,0,2,0,0,0,0,0,0.0,24,15,9,1,0,0
545502.0,Zach Allen,25,ARI,DT,13,13,0,0,0,0,8,0,0,0,0,0,5.5,47,23,24,10,20,0
545451.0,De'Vondre Campbell,29,GNB,LILB,13,13,2,77,1,63,3,0,0,0,0,0,0.0,96,56,40,6,1,0
546653.0,James Conner,27,ARI,RB,13,13,0,0,0,0,0,0,3,4,0,0,0.0,1,1,0,0,0,0
3916923.0,Carlton Davis,25,TAM,LCB,13,13,1,0,0,0,12,1,0,1,0,0,0.0,65,53,12,3,1,0
3929950.0,Tremaine Edmunds,24,BUF,MLB,13,13,1,4,0,4,7,0,0,0,0,0,1.0,102,66,36,6,3,0
4259804.0,Willie Gay Jr.,24,KAN,MLB,13,13,1,47,1,47,8,0,0,1,0,0,2.5,88,51,37,9,4,0
4362847.0,Jaycee Horn,23,CAR,RCB,13,13,3,49,0,31,7,0,0,0,0,0,0.0,53,37,16,2,1,0
3924365.0,Hayden Hurst,29,CIN,TE,13,13,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0
,Matthew Ioannidis,28,CAR,RDT,13,13,0,0,0,0,1,1,0,0,0,0,1.0,37,17,20,5,9,0
545427.0,Josey Jewell,28,DEN,LILB,13,13,2,21,0,21,4,2,0,2,5,0,2.5,128,70,58,7,4,0
3915525.0,Dre'Mont Jones,25,DEN,LDE,13,13,0,0,0,0,0,1,0,0,0,0,6.5,47,24,23,9,10,0
511459.0,Marcus Mariota,29,ATL,QB,13,13,0,0,0,0,0,0,8,4,0,0,0.0,1,1,0,0,0,0
3917331.0,Erik McCoy,25,NOR,C,13,13,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0
,Quinn Meinerz,24,DEN,RG,13,13,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0
,Mitch Morse,30,BUF,C,13,13,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0
,Evan Neal,22,NYG,RT,13,13,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0
4039303.0,Ed Oliver,25,BUF,LDT,13,13,0,0,0,0,3,1,0,1,0,0,2.5,34,20,14,9,14,1
513059.0,Marcus Peters,29,BAL,LCB,13,13,1,8,0,8,6,2,0,2,0,0,1.0,47,35,12,2,1,0
4360238.0,Dameon Pierce,22,HOU,RB,13,13,0,0,0,0,0,0,4,0,0,0,0.0,1,1,0,0,0,0
,Ethan Pocic,27,CLE,C,13,13,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0
4362506.0,Gregory Rousseau,22,BUF,LDE,13,13,0,0,0,0,4,1,0,0,0,0,8.0,37,27,10,10,14,0
550333.0,Coleman Shelton,27,LAR,C,13,13,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0
