Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
162,Dunta Robinson,22,HOU,RCB,16,16,6,146,0,61,19.0,3,0,0,0,0,3.0,88.0,74.0,14.0,1.0,0,AP DRoY-2
163,Shaun Rogers,25,DET,RDT,16,16,0,0,0,0,5.0,0,0,1,0,0,4.0,68.0,48.0,20.0,12.0,0,"PB,AP-2"
164,Mike Rucker,29,CAR,RDE,16,16,0,0,0,0,5.0,1,0,1,0,0,3.5,38.0,35.0,3.0,7.0,0,
165,Jon Runyan,31,PHI,RT,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
166,Brian Russell,26,MIN,FS,16,16,1,41,0,41,7.0,0,0,1,0,0,0.0,82.0,62.0,20.0,1.0,0,
167,Chris Samuels,27,WAS,LT,16,16,0,0,0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
168,Warren Sapp,32,OAK,RDT,16,16,0,0,0,0,0.0,0,0,2,0,0,2.5,42.0,31.0,11.0,6.0,0,
169,Aaron Schobel,27,BUF,RDE,16,16,0,0,0,0,4.0,5,0,3,0,0,8.0,73.0,46.0,27.0,9.0,0,
170,Bryan Scott,23,ATL,SS,16,16,1,22,0,22,5.0,1,0,1,1,0,2.5,97.0,86.0,11.0,2.0,0,
171,Jamie Sharper,30,HOU,RILB,16,16,0,0,0,0,9.0,3,0,1,16,1,2.0,139.0,98.0,41.0,10.0,0,
172,Will Shields,33,KAN,RG,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-2"
173,Corey Simon,27,PHI,LDT,16,16,0,0,0,0,1.0,0,0,0,0,0,5.5,32.0,26.0,6.0,9.0,0,
