Player ID,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty
,Jake Plummer,30,DEN,QB,16,16,0,0,0,0,0.0,0,6,6,-8,0,0.0,0.0,0.0,0.0,0.0,0
,Troy Polamalu,23,PIT,SS,16,16,5,58,1,26,14.0,1,0,0,0,0,1.0,97.0,68.0,29.0,4.0,0
,Jerry Porter,26,OAK,WR,16,16,0,0,0,0,0.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0
,Casey Rabach,27,BAL,C,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0
,Dominic Raiola,26,DET,C,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Montae Reagor,27,IND,LDT,16,16,0,0,0,0,2.0,1,0,1,0,0,5.0,43.0,35.0,8.0,11.0,0
,Cory Redding,24,DET,LDE,16,16,0,0,0,0,0.0,1,0,2,0,0,3.0,41.0,35.0,6.0,6.0,1
,Ed Reed,26,BAL,SS,16,16,9,358,1,106,17.0,3,1,2,44,1,2.0,78.0,64.0,14.0,6.0,0
,Simeon Rice,30,TAM,RDE,16,16,0,0,0,0,5.0,1,0,0,0,0,12.0,46.0,39.0,7.0,12.0,0
,Tony Richardson,33,KAN,FB,16,16,0,0,0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0
,Willie Roaf,34,KAN,LT,16,16,0,0,0,0,,0,0,1,0,0,0.0,,,,,0
,Dewayne Robertson,23,NYJ,LDT,16,16,0,0,0,0,0.0,1,0,0,0,0,3.0,53.0,39.0,14.0,6.0,0
,Dunta Robinson,22,HOU,RCB,16,16,6,146,0,61,19.0,3,0,0,0,0,3.0,88.0,74.0,14.0,1.0,0
,Shaun Rogers,25,DET,RDT,16,16,0,0,0,0,5.0,0,0,1,0,0,4.0,68.0,48.0,20.0,12.0,0
,Mike Rucker,29,CAR,RDE,16,16,0,0,0,0,5.0,1,0,1,0,0,3.5,38.0,35.0,3.0,7.0,0
,Jon Runyan,31,PHI,RT,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Brian Russell,26,MIN,FS,16,16,1,41,0,41,7.0,0,0,1,0,0,0.0,82.0,62.0,20.0,1.0,0
,Chris Samuels,27,WAS,LT,16,16,0,0,0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0
,Warren Sapp,32,OAK,RDT,16,16,0,0,0,0,0.0,0,0,2,0,0,2.5,42.0,31.0,11.0,6.0,0
