Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Unnamed: 17_level_0,Unnamed: 18_level_0
Rk,Player,Age,Team,Pos,G,GS,Ret,Yds,PRTD,Lng,Y/Ret,Ret,Yds,KRTD,Lng,Y/Ret,APYd,Awards
98.0,Lance Ball,25.0,DEN,RB,10.0,0.0,0.0,0.0,0.0,0.0,,2.0,33.0,0.0,18.0,16.5,207.0,
99.0,Jackie Battle,27.0,KAN,RB,16.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,59.0,
100.0,Mike Bell,27.0,2TM,RB,16.0,1.0,0.0,0.0,0.0,0.0,,6.0,63.0,0.0,31.0,10.5,229.0,
100.0,Mike Bell,27.0,PHI,RB,5.0,0.0,0.0,0.0,0.0,0.0,,1.0,8.0,0.0,8.0,8.0,41.0,
100.0,Mike Bell,27.0,CLE,RB,11.0,1.0,0.0,0.0,0.0,0.0,,5.0,55.0,0.0,31.0,11.0,188.0,
101.0,Marcus Benard,25.0,CLE,LB,15.0,2.0,0.0,0.0,0.0,0.0,,4.0,26.0,0.0,11.0,6.5,26.0,
102.0,Ladell Betts,31.0,NOR,RB,8.0,1.0,0.0,0.0,0.0,0.0,,1.0,23.0,0.0,23.0,23.0,314.0,
103.0,Brock Bolen,25.0,JAX,RB,4.0,0.0,0.0,0.0,0.0,0.0,,1.0,5.0,0.0,5.0,5.0,20.0,
104.0,Lorenzo Booker,26.0,MIN,RB,4.0,0.0,0.0,0.0,0.0,0.0,,18.0,429.0,0.0,49.0,23.8,461.0,
105.0,Steve Breaston,27.0,ARI,WR,13.0,11.0,0.0,0.0,0.0,0.0,,7.0,162.0,0.0,27.0,23.1,915.0,
106.0,Curtis Brinkley,25.0,SDG,RB,3.0,0.0,0.0,0.0,0.0,0.0,,1.0,29.0,0.0,29.0,29.0,40.0,
107.0,Jasper Brinkley,25.0,MIN,LB,16.0,0.0,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,2.0,2.0,2.0,
108.0,Cornelius Brown,22.0,IND,DB,10.0,0.0,0.0,0.0,0.0,0.0,,5.0,102.0,0.0,23.0,20.4,102.0,
109.0,Eldra Buckley,25.0,PHI,RB,16.0,0.0,0.0,0.0,0.0,0.0,,1.0,20.0,0.0,20.0,20.0,97.0,
110.0,Nate Burleson,29.0,DET,WR,14.0,14.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,706.0,
111.0,Nolan Carroll,23.0,MIA,DB,13.0,1.0,0.0,0.0,0.0,0.0,,27.0,655.0,0.0,46.0,24.3,656.0,
112.0,Rock Cartwright,31.0,OAK,FB,16.0,0.0,0.0,0.0,0.0,0.0,,6.0,103.0,0.0,28.0,17.2,135.0,
113.0,Jehuu Caulcrick,27.0,BUF,RB,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,28.0,0.0,17.0,14.0,30.0,
114.0,Brent Celek,25.0,PHI,TE,16.0,15.0,0.0,0.0,0.0,0.0,,1.0,12.0,0.0,12.0,12.0,523.0,
115.0,Scott Chandler,25.0,DAL,TE,9.0,0.0,0.0,0.0,0.0,0.0,,1.0,11.0,0.0,11.0,11.0,11.0,
